Keyword,Count
رهاب اجتماعي,1470
الرهاب الاجتماعي,453
social anxiety,384
قلق مزمن,192
خوف مرضي,190
اضطراب القلق,178
قلق اجتماعي,161
اضطراب قلق,125
anxiety disorder,85
قلق مرضي,72
قلق عام,63
القلق العام,44
القلق الاجتماعي,41
قلق الانفصال,33
GAD,29
القلق المزمن,28
social anxiety disorder,23
الخوف المرضي,21
generalized anxiety disorder,21
agoraphobia,19
القلق المرضي,16
اضطراب قلق عام,15
generalized anxiety,12
رهاب الخلاء,10
اضطراب القلق الاجتماعي,8
separation anxiety disorder,2
specific phobia,2
رهاب محدد,1
